Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Centre-Val de Loire,Eure-et-Loir,28310 Janville-en-Beauce,1.939,,,,1.859,1.926,"48.197, 1.892"
Provence-Alpes-Côte d'Azur,Vaucluse,84230 Châteauneuf-du-Pape,1.949,,,,1.999,2.059,"44.058, 4.835"
Occitanie,Hautes-Pyrénées,65400 Argelès-Gazost,1.969,1.989,,,,1.989,"43.003, -0.097"
Centre-Val de Loire,Loiret,45170 Neuville-aux-Bois,1.99,,,,1.99,1.99,"48.081, 2.049"
Hauts-de-France,Oise,60700 Pont-Sainte-Maxence,1.901,1.863,0.981,,1.821,1.896,"49.317, 2.606"
Occitanie,Aude,11700 Capendu,2.062,,1.196,,2.08,2.165,"43.178455886132, 2.5432653081987997"
Hauts-de-France,Nord,59250 Halluin,1.922,,0.998,,1.909,1.989,"50.772, 3.127"
Hauts-de-France,Nord,59300 Valenciennes,1.889,,0.968,,1.866,1.899,"50.379, 3.543"
Bretagne,Ille-et-Vilaine,35500 Erbrée,1.99,,1.259,1.054,1.99,1.99,"48.0878122294, -1.12130648599"
Pays de la Loire,Vendée,85500 Les Herbiers,1.876,,0.963,,1.803,1.884,"46.858, -1.015"
Auvergne-Rhône-Alpes,Loire,42110 Feurs,1.999,,,,1.939,,"45.74069, 4.21736"
Bretagne,Morbihan,56500 Pleugriffet,1.889,,,,1.869,1.969,"47.99, -2.708"
Provence-Alpes-Côte d'Azur,Var,83480 Puget-sur-Argens,1.99,,1.249,1.054,1.99,1.99,"43.466859091819, 6.671643191754801"
Hauts-de-France,Nord,59110 La Madeleine,1.929,,0.994,0.949,1.874,1.965,"50.651008579, 3.06270154852"
Auvergne-Rhône-Alpes,Haute-Loire,43800 Vorey,1.959,,0.998,,1.919,1.969,"45.182, 3.915"
Bretagne,Ille-et-Vilaine,35600 Redon,1.894,,0.999,0.969,1.796,1.864,"47.67365, -2.06466"
Occitanie,Aude,11290 Arzens,2.022,,1.08,1.117,2.02,2.095,"43.221, 2.202"
Bourgogne-Franche-Comté,Doubs,25650 Gilley,1.939,2.025,,,,,"47.047390073703, 6.4975326782419"
Grand Est,Meurthe-et-Moselle,54380 Dieulouard,1.919,,0.999,,1.889,,"48.838, 6.066"
Auvergne-Rhône-Alpes,Savoie,73600 Salins-Fontaine,1.913,,1.029,,1.872,1.982,"45.47668353119101, 6.527356862485499"
Bretagne,Morbihan,56350 Allaire,2.01,2.08,,,,,"47.63633, -2.16842"
Pays de la Loire,Sarthe,72470 Champagné,1.923,,,,1.887,,"48.016, 0.32794"
Bretagne,Finistère,29500 Ergué-Gabéric,2.049,,,,,2.119,"47.996567999999996, -4.0271142"
Provence-Alpes-Côte d'Azur,Var,83560 Rians,1.918,,,,1.99,1.99,"43.61, 5.755"
Occitanie,Aveyron,12000 Rodez,1.99,1.99,,,,,"44.359219211413006, 2.5698524525378"
Occitanie,Haute-Garonne,31270 Villeneuve-Tolosane,1.923,,0.994,,1.869,1.982,"43.524, 1.343"
Centre-Val de Loire,Eure-et-Loir,28160 Brou,1.939,,0.998,,1.919,1.989,"48.215, 1.18"
Île-de-France,Essonne,94542 Paray-Vieille-Poste,1.999,,1.029,1.21,2.099,2.149,"48.732370599999996, 2.3657066"
Île-de-France,Val-d'Oise,95700 Roissy-en-France,1.99,,1.169,1.024,1.99,1.99,"49.0091, 2.53736"
Île-de-France,Seine-Saint-Denis,93160 Noisy-le-Grand,,,,,,,"48.842, 2.559"
Centre-Val de Loire,Loiret,45250 Briare,1.929,,0.999,,1.869,,"47.6422679, 2.74398339"
Grand Est,Haut-Rhin,68210 Dannemarie,1.939,,,,1.819,1.899,"47.631, 7.111"
